index	ID	split	label	tweet_clean	tweet_raw_len	tweet_clean_len
31	1321892420942991363	train	none	I couldn't believe what I was reading. This is my state. There is no way in hell I'd take any vaccine for covid. I don't take any of them.	29	29
32	1329119018616193024	train	political	[USER] [USER] Is this vaccine for real or just some get-rich quick scheme of the Trumps ? Is Ivanka raking in millions from Pfizer stock ? I do not trust anything that comes from, through or near the Trump administration.	40	40
33	1336340368367861761	train	ineffective,side-effect	[USER] NO. You know as well as we all do that all this vaccine does is lessen the symptoms of the virus - you don't mention that it could cause repercussions on other viruses as the bodies own immune system can be weakened by the Pfizer vaccine - all in the public domain.	53	53
34	1335754588725633024	train	rushed	[USER] The vaccine was tested before being released. I’m not taking any vaccine for Covid-19 until they thoroughly test it. I was young but remember the horrific outcome of that vaccine. Locally hundreds died but thousands died elsewhere. Sad.	39	39
35	1338961436631060481	train	side-effect	[USER] [USER] [USER] [USER] Do tell - how many of the people who’ve already gotten the vaccine have died?	19	19
36	1336262857260929024	train	pharma	Check out Pfizer's wonderful record of service to humanity. Oh, and it's $BILLIONS paid out in fines for malpractice and malfeasance. [URL]	22	22
37	1414879811877605377	train	side-effect	The Covaxin recipient, a man in his late 60s (also with no COVID-19 comorbidities), died from complications of COVID-19. [URL]	20	20
38	1355164450056073222	train	none	Now Johnson n Johnson got a fucking single shot vaccine , Foh	12	12
39	1345361992392056833	train	ineffective	[USER] [USER] What is the point exactly - Pfizer itself says the vaccine is useless if the 2nd jab isn't given within the correct time frame or are you 2nd vaccinating your elderly frail patients?	35	35
40	1341945597801111552	train	side-effect	[USER] Nightingales reserved for theatre of war. AI will hide side-effects/vaccine injuries (cv vax). But many cld collapse public (narcolepsy/spinal paralysis=side-effects).Wld be declared 'covid', prison in nightingales. MSM lies, public waving hand lies. Showers w/o water	35	36
41	1362628679239684098	train	side-effect	[USER] [USER] [USER] My Dad died after the Modern vaccine. Organs started shutting down. Doctor said no real proof it was the vaccine. He has covid in August. He should not have gotten it. He would still be alive had he not taken it.	44	44
42	1375804823216480258	train	ineffective	[USER] [USER] [USER] I think he was told he was being given the vaccine (small fee taken) when in fact it was some whoopy woo stuff. Next he'll be complaining of the after effects (or come down!). Later he'll be requesting his second shot.	44	44
43	1378302333063401474	train	mandatory	If the vaccines work like they say then why does it matter if a few people don’t have it? If they don’t have it and get covid then it’s on them but it should be THEIR choice? Meanwhile everybody else who has the vaccine will be fine? Utterly utterly absurd	50	50
44	1422940368752967688	train	side-effect	"#VAERS 50y female sign #Moderna #CovidVaccine #Gangrene #Amputation #Thrombosis ""reported by a consumer (subsequently medically confirmed) ... occurrence of THROMBOSIS (Blood clots), THROMBECTOMY (two clots were removed), GANGRENE ... and LEG AMPUTATION"" [URL]"	30	33
45	1354155004798631937	train	ineffective	[USER] [USER] [USER] If they're so safe then why do the pharmaceutical companies have measures in place that protects them from being sued in the event the vaccine doesn't work as promised. It seems that United is setting themselves up for potential employee lawsuits in the future. Not smart .	50	50
46	1306268829211938829	train	political	[USER] I will never take a Covid test nor the vaccine. Covid is being used as a political football and I will have no part of it.	27	27
47	1344644995505156097	train	side-effect	[USER] 1. The way I understand it is not that simple. Pfizer vaccine not the best for us because must remain frozen in transport and we are far away. Also, it now shows allergic reaction 10x more than other vaccines (acc to Barry Schoub).	44	44
48	1366868985627742210	train	religious	Catholics should avoid Johnson & Johnson’s vaccine if other options are available, official U.S. group says [URL] [URL]	18	18
49	1339662607800786944	train	pharma,side-effect	Moderna and Pfizer cannot be sued if vaccine side effects is severe, in other words you're on your own if you get vaccinated, I rather be on my own without it, thank you much!!!!	34	34
50	1374699166631219207	train	side-effect	Death of Ukrainian servicewoman after vaccination caused by acute circulatory disorders #AstraZeneca [URL]	13	13
51	1364571808037539842	train	unnecessary,pharma,rushed	[USER] [USER] COVID is a scam so big pharma can make money, like the swine flu scandale in 2009 same shit over again. It is a politicized virus. You aware 99.98% survive COVID? Why would you need a risky vaccine that hasn't been used on humans before?	47	47
52	1338220659546046464	train	rushed,side-effect	[USER] It is unlikely that covid vaccines will have much impact on epidemics. The efficacy reports on most vaccines are fake statistics. Pfizer's vaccine is known to have side effects that can be worse than covid. [URL]	37	37
53	1297621454977212425	train	side-effect	[USER] Politicians not science run the show! All public trust for any treatment vaccine will be destroyed	17	17
54	1377356538747047939	train	none	love not being vaccinated yet syringe rolling on the floor laughing syringe this family went to disney world for spring break btw [URL]	16	23
55	1264539283857108994	train	unnecessary	[USER] [USER] [USER] We need to start asking those in charge ,if most Covid cases are mild/assymptomatic and majority of deaths are in care homes, why all the extra public health measures, social distancing , ppe and vaccine propaganda? Ask about herd and natural immunity vs vaccine immunity?	48	48
56	1362826136674136067	train	side-effect	"[USER] I'd love to see the results of ""Covid Vaccine Deaths & Complications"" plugged into that same covid case modelling software!"	21	21
57	1353309231190044674	train	ineffective	[USER] It upsets me to see all these vulnerable human beings having this unknown vaccine. And like you say i bet they were never told before hand that they will still be in the same position even after having it. And yes where is the cleanliness protocol woman facepalming medium-light skin tone crying face	48	54
58	1350407066851094528	train	side-effect	I’ve been flat out declining Pfizer vaccine after seeing two peoples side effects. I was offered Oxford yesterday but declined it as I know of a lot of people who have had even worse side effects than Pfizer. Luckily my manager was cool with it and said it’s my choice.	50	50
59	1291657231709216769	train	mandatory	COVID IS REALLY AN INTELLIGENCE TEST HOW CAN ANYBODY BE STUPID ENOUGH TO THINK OVERNIGHT EVERYBODY IN THE ENTIRE WORLD IS SICK & NEEDS TESTING MASKS & VACCINES? MOST PEOPLE WHO TEST POSITIVE FEEL FINE & ARE NOT SICK WHAT A FEAR PSYOP ON HUMAN RACE EVERYONE IS BRAINWASHED SO SAD [URL]	52	52
60	1339311167978811394	train	pharma	[USER] Pfizer has been given legal protection if anything goes wrong with the vaccine so why would they fight for that if they were so sure that it does what they say it does people see through it and will not be taking it and I don't think MSM realizes that	51	51
61	1403676363517743105	train	ineffective	California Woman Who Got Both Moderna Vaccine Shots Dies of COVID-19: Officials - The Epoch Times [URL]	17	17
62	1390974070934671360	train	side-effect	Reported Vaccine Injuries Continue to Climb, Pfizer Seeks Full Approval for COVID Vaccine • Children's Health Defense [URL]	18	18
63	1375846822917328896	train	rushed	Is pfizer really testing their vaccine on infants? thinking face As a parent, I would never allow that. persevering face	17	20
64	1407783455161831424	train	side-effect	Pfizer COVID Vaccine Linked to Rare Blood Clot Disorder, Israeli Researchers Say Israeli researchers on Monday said they discovered a link between Pfizer’s COVID vaccine and thrombotic thrombocytopenic purpura (TTP), a rare blood disease. Scientists wi… [URL]	37	37
65	1233210615964942337	train	side-effect	[USER] [USER] He seems pretty credible to me. Cui bono, if we go with your sources? Look at what he says about animals showing high incidence of respiratory failure AFTER being vaccinated. He asks whether Chinese had been subjected to vaccine trials. #Coronavirus [URL]	44	44
66	1392386870382927874	train	side-effect,political	#FordNation's critics (*cough* Liberals) are blaming the provincial government for halting #AstraZeneca vaccine rollout in the province So they want to continue using a vaccine that causes #bloodclots face with rolling eyes #Ontario is the only province to halt the use of this inferior vaccine	42	45
67	1354827717976449024	train	none	Employer called an asked was I gettin the Covid Vaccine. Be a big hell no for me	17	17
68	1365048430696026120	train	side-effect	[USER] Infertility through vaccination? Read this revealing article. Press the link! [URL] [USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] #COVID19Vaccine #Covid19UK #Israel [URL]	24	24
69	1444943348188336128	train	rushed	[USER] [USER] You realise three six month trials in different countries doesn't add up to eighteen months worth of follow up, right? Even the recent FDA approval letter for the Pfizer vaccine states that various standard safety trials are still required to be completed in 2023 and 2024.	48	48
70	1254256895256408064	train	ineffective	So with common sense, if the virus they have no cures for they put in your body thru vaccination lies dormant, where is it going? Its regenerating itself, much like how you do when you sleep then wake up. A virus they putting in you that has no cure. Where is the virus going?	54	54
71	1342759745762029568	train	side-effect	This is not the first time a medical professional had an allergic reaction to one of these newer mRNA vaccines. Earlier this month, the Post reported 5 people in the US had allergic reactions after Pfizer shot: [URL]	38	38
72	1322847831913304064	train	rushed,side-effect	[USER] This statement is ridiculous, unless the vaccine is to be rolled out without proper testing for safety. There could well be more people die from side effects of the vaccine than are saved from Covid.	36	36
73	1325852698017665027	train	ineffective	[USER] Pfizer is a dodgy outfit so any vaccine from them is not trustworthy.	14	14
74	1341519793896230913	train	ineffective,rushed,side-effect	[USER] [USER] Everyone has to keep retweeting this message - the public are being coerced into being part of an experiment that could kill, disable or make them infertile. The vax does not prevent infection & no guarantees of safety are given by the manufacturer. All on Pfizer's own web site.	51	51
75	1340351049295642624	train	ingredients	of reactions were observed with the Moderna vaccine, it could be speculated that it could be linked to a common ingredient between the 2 vaccines, referring particularly to polyethylene glycol (PEG), which is used in the lipid nanoparticules (LNP= mRNA carrier). There has been	44	44
76	1326645170859876353	train	pharma	Dear Pfizer, Since we all know this covid nonsense has everything to do with generating revenue and nothing to do with safety (at best, at worst who the fuck knows what the drug does), why not just give us an option of $50 payment to exempt out of your asylum nightmare.	51	51
77	1370329768785293313	train	side-effect	[USER] [USER] can you stop going on and on about vaccines in your daily mirror column. You are part of the propaganda, after Oxford vaccine my brother became ill with Bell’s palsy and extreme ear pain. Known side effect. Look into this?	42	42
78	1300976928015282176	train	country,ingredients,conspiracy	[USER] Ahh it’s because he has his heart set on the Russian vaccine. Gook luck with that and the chips Russia will implant into you..lol	25	25
79	1303496425557327872	train	unnecessary,side-effect	"I will NEVER take any Covid-19 vaccine: AstraZeneca trial paused due to ""unexplained illness."""	14	14
80	1374841565047316485	train	ineffective	A vaccine a substance used to stimulate the production of antibodies & PROVIDES IMMUNITY against diseases. Guys a vaccine provides what? ACTIVE IMMUNITY.. But the coronavirus vaccine can’t make you immune from contracting the virus.. Please define USELESS for me again..	41	41
81	1354915748871872512	train	side-effect	I am afraid that Tiffany Dover is unfortunately dead after the Covid Vaccine - [URL]	15	15
82	1288646596675145728	train	mandatory	[USER] Desperate public? Or people daily bombarded by the media that they won't get their life back unless they succumb to a vaccine? There's a difference between 'desperation' and 'coercion'. [URL]	31	31
83	1344232012115271683	train	ineffective,side-effect	What's the essence of administering Pfizer/BioNTech vaccine for COVID19 if taking the vaccine will not prevent you from getting infected, spreading the virus? It's even uncertain if the vaccine will cause infertility or has long term side effects.. Something is amiss!	41	41
84	1374807602564112389	train	pharma,political,conspiracy	[USER] [USER] I don't trust a thing the US Gov. is up to (no good.) In particular the cover up of this virus being man-made and is being used as a tool to diminish the population.I'm anticipating this virus and vaccine will impact folks of color the most .Gates and Fauci are up to no good...	56	56
85	1254882873372524544	train	rushed	[USER] [USER] They usually take years to fully test and approve a vaccine. You can take this one. I'll wait. Thanks.	21	21
86	1334789214433497088	train	side-effect	"Priest who took part in #Moderna vaccine dies, cause unknown(WTF?), might have had a heart attack. Three of the 15 human guinea pigs in the high-dose cohort - 250MG - reportedly suffered a ""serious adverse event"" within 43 days of receiving Moderna's jab. That’s 20%!"	45	45
87	1376815180785442819	train	mandatory,political	‘Huge privacy implications’: Florida Gov. DeSantis vows to ban ‘vaccine passports’ as Biden admin joins forces with Big Tech [URL] speaking head Vaccine Passports are precursors to the technology imbedded into the human body: Mark if the Beast. i refuse! Kill me instead! [URL]	43	44
88	1339373003172425730	train	pharma	[USER] [USER] [USER] Is he away that even a ceo at Pfizer said he wouldn’t even take the vaccine thinking face	20	21
89	1344333695046590466	train	side-effect	[USER] Perhaps you could try the #vaccine on yourself first to reassure your patients as #vaccines have a nasty habit of injuring #patients [URL]	24	24
90	1255757051697008640	train	country	[USER] Anything Chinese, I would stay away!! Fake fake fake is their middle name. And now this face with rolling eyes face with rolling eyes it might be sucidal to even think that they have a vaccine	29	37
91	1341503975133163520	train	none	[USER] [USER] I don’t care who’s holding the syringe, I’m NEVER having the Pfizer vaccine.	15	15
92	1327800216628703232	train	mandatory	[USER] SPIRO, Lets Share the Truth of the origin of Covid 19 and the pending MANDATORY VACCINES TOGETHER! [URL] [URL]	20	20
93	1340089016050454530	train	ineffective	[USER] If residents at nursing homes are vaccinated, there is absolutely no reason to vaccinate the staff unless they want it. If vaccine works, then the vulnerable are protected. If it doesn’t work then [USER] should be investigated. What in the world are U injecting people with then?	48	48
94	1280491532437446657	train	pharma,political	If #Novavax has been awarded 1.6 billion, #makethevaccinefree . Everyone together, hold the government and big pharma accountable. raised fist light skin tone raised fist dark skin tone raised fist medium skin tone raised fist medium-dark skin tone Stop letting them rob us, when it’s their fault for managing this outbreak terribly, killing small businesses, and our livelihoods.	39	58
95	1376375590010249218	train	side-effect	"Palachook says ""But until we have the population vaccinated there is of course the risk of community transmission."" Shame she doesnt realise there is no evidence that vaccination prevents transmission. #idiotsingovernment"	31	31
96	1276060915658395648	train	political	I can't believe anyone really believes we'll ever get a Covid cure. Even if we get a vaccine, do you really trust our government to secure it, distribute it, and affordably price it? Kidding yourselves.	35	35
97	1374925877306253317	train	mandatory	Halt All Covid-19 Mass Vaccination Immediately (Open Letter to the WHO) — Vaccine Research Expert [URL]	16	16
98	1285385073525743622	train	rushed	Coronavirus vaccine trial at Oxford University shows 'robust' immune system response [URL] #FoxNews this is the one with the chip people ... designed to give 'robust' immune system responses ... I would not take it LMAO!!!!	36	36
99	1371209597491503108	train	side-effect	******COVID-19 VACCINE SUSPENDED FOR CAUSING BLOOD CLOTS****** COVID-19: Ireland suspends AstraZeneca vaccine [URL] via [USER]	15	15
100	1326431748595605504	train	side-effect	[USER] [USER] my biggest issue with the vaccine is the fact that [USER] have an abysmal track record with medicine and it’s adverse affects. Even paying off doctors in the past... how can we trust that it’s safe?	38	38
101	1444655305841840131	train	ineffective	[USER] [USER] [USER] Sinopharm won't be trusted. So you have one vaccine. But unless you were vaxed in UK (or EU, US +17) likely that will not be allowed either	30	30
102	1361141045744967683	train	unnecessary	[USER] Don't get the vaccine. It's 99% survival rate. I have elderly patients who are surviving Covid.	17	17
103	1261314346656940032	train	side-effect	[USER] [USER] I’d recommend listening to Dr. Mikovits and RFK JR on the risks of mRNA vaccines currently in development by Moderna. Even their former chief chemist said he’d never take that vaccine. It’s exactly what it’s designed to do.	40	40
104	1339686036230823937	train	side-effect	[USER] [USER] [USER] [USER] 300k+ dead from covid= no biggie 99.9999% chance to live anyway 4 with serious side effects from vaccine= NOT PUTTING POISON IN MY BODY I'M NO SHEEP	31	31
105	1377372809077288962	train	conspiracy	[USER] If the “vaccination” works then why do people need to be segregated? If the vaccination doesn’t work then why did you dumb ass people take it in the first place? Critical thinking skills! C’mon people.	36	36
106	1377276930328817672	train	pharma	[USER] [USER] Your tax money is subsidizing this windfall for vaccine manufacturers.	12	12
107	1376708936976326656	train	mandatory	Vaccine passports are not a good idea and further not Constitutional	11	11
108	1369509209843376130	train	country,political	[USER] My point is if Russia was the only country with a vaccine available I wouldn't trust them enough to take it. I also believe Trump is a long term Russian asset who was more than a bumbling bureaucrat and who had a laundry list of things Putin wanted him to accomplish to hurt us.	55	55
109	1432316506717761539	train	side-effect	Woman dies from possible 'rare side effect' after receiving Pfizer vaccine [URL]	12	12
110	1426046770551816194	train	side-effect	Phichit medic who died after booster Pfizer vaccine had underlying health issues #SootinClaimon.Com [URL]	14	14
111	1355520864561876992	train	side-effect	This is incredibly concerning. On the face of it it would appear the vaccine is the cause of their deaths but without transparency, no doubt it will continue thinking face crying face #BorisJohnson #vaccine	30	34
112	1337710451237523456	train	side-effect	OOPS!!!.... [USER] CDC monitors for Bell’s palsy among Pfizer vaccine recipients, sees no causal relationship [URL]	15	16
113	1341713552114069504	train	rushed	[USER] Does the Pfizer/Biontech paper, justify treating the vaccine as the holy grail. I actually find the paper more disturbing than reassuring. Besides all limitations they say „the results are proof of concept for RNA vaccines.“ [URL]	37	37
114	1333789671973744646	train	side-effect	[USER] COVID-19 vaccine conditional marketing authorization, not safe to preserve life, debauchery is not trust.	15	15
115	1293379404538818561	train	rushed,country	so galit na galit ang lahat sa dengvaxia pero excited sa russian covid-19 vaccine? they skipped the 3rd phase just so they could say they developed the 1st vaccine. wake up, ginagawa tayong lab rats.	35	35
116	1354561494990680069	train	ineffective	[USER] Beside this AstraZeneca is a 1,75€ vaccine based on a chimpanzee Adenovirus Vector with an efficiency of calculated 70% which is less in elderly. The chance of an Immune Escape of the new VOC makes this vaccine even more Questionable. Fighting a bat virus with a orangutan Virus?	47	49
117	1346847782334832647	train	unnecessary	[USER] [USER] Or just carry on exactly as before because clearly there is no problem. If it ain't broke why fix it? How many out of *zero* covid cases can a vaccine possibly help with?	35	35
118	1332206506339565570	train	pharma	#IndiaFightsCorona Oxford AstraZeneca Vax FACTS SHARE WIDELY Those promoting the vax have loud voices & big money to hide the truth from you So there needs to be some effort in amplifying the voices of those who expose the truth. The entire thread is backed up with proof backhand index pointing down folded hands	49	54
119	1375146241580003346	train	none	[USER] Frankly I'd rather they not get vaccinated. #ByeFelicia [URL]	10	10
120	1353013192373448704	train	rushed	I’m seriously worried about this. The phase 1 and 2 trials are done on such small number of volunteers that one cannot recommend a drug or vaccine based on them. Why India is doing this?? #Covaxin	36	36
121	1297173361253060608	train	side-effect	[USER] [USER] They just want to keep people from dying from bad drugs and vaccines, something you don't care about. You have hundreds of thousands of deaths on your hands, not just COVID-19 - soldiers killed for Russian bounties, Kurds betrayed to fascist Erdogan,.... #BidenHarris2020Landslide	45	45
122	1164662154647068672	train	side-effect	[USER] I'm not anti vax generally... But... The flu vaccine is just a giant waste of money, that's causing the virus to mutate faster.	24	24
123	1314888881926557696	train	rushed,political,conspiracy	CLINTON APOLOGIZES FOR EXPERIMENTING ON U.S CITIZENS AND MILITARY WITHOUT THEIR CONSENT AND IN SECRET!! WHY DO YOU THINK IT WOULD BE DIFFERENT WITH THIS HARDLY TESTED, SPIKED WITH DNA-CHANGING CELLS A.S.O. ''COVID-VACCINE''???????	33	33
124	1328874989005713409	train	ineffective,side-effect	[USER] He’s walking back the recent claims of vaccine effectiveness. Seems it will mainly be to reduce symptoms not infections. That’s the situation now. Almost all people who’ve contracted Covid are low- or non-symptomatic. Expect calls for the counter-measures indefinitely.	40	40
125	1334593561707376650	train	pharma	"NO WAY! If true this is utterly outrageous. #Pfizer has an unbelievable criminal track record why would they get ""indemnity"" in case they sell yet another flawed medicine? People need to wake up and soon!!! #COVIDー19 #vaccination [URL]"	38	38
126	1265697838358396928	train	side-effect	Ugh- No thank you! prohibited face vomiting A volunteer in a key coronavirus vaccine trial has revealed that it left him the sickest he has ever been in his life Moderna coronavirus vaccine tester fainted, had high fever during trial [URL]	39	41
127	1218958578461048832	train	conspiracy	[USER] [USER] Not the Holocaust, it's the rape/vaccine-induced viral apocalypse via the coronavirus from #Wuhan. See: [URL]	17	17
128	1354386927605207042	train	ineffective	[USER] [USER] [USER] [USER] Yes, but we don't lock the country down for flu do we. I'm led to believe the 'R' rate is a significant factor in us being in lockdown, if you can still transmit it post vaccination, how will that change?	44	44
129	1338835406805233664	train	side-effect	[USER] [USER] Has been reporting straight-up facts since the beginning, no matter how inconvenient to anyone's narrative. When a report came out saying there were no excess deaths this year from Covid, he was one of the first to debunk it. The vaccine does have side effects...	47	47
130	1358164133959581697	train	side-effect	"[USER] [USER] ""Doctors said they think it's the metals in the vaccine that's causing her to have the neurological reaction"" 2:15 Jan 18, 2021 RT Woman's severe reaction to Pfizer COVID vaccine prompts investigation - YouTube [URL]"	37	37
131	1352730823720640514	train	mandatory	[USER] [USER] The idea of *forcing* someone to do something, especially something like a vaccine under the penalty of not getting something from the Gov, is unconstitutional at best.	29	29
132	1253228122612404224	train	rushed	[USER] [USER] [USER] Agree. I can’t see how a vaccine can be rushed through. Time is the test any experiment needs.	21	21
133	1371050337281396736	train	rushed,side-effect	It's all coming out into the open. A vaccine rushed into production & only authorized for emergency use is bound to be full of flaws/potential dangers to health Ireland to suspend use of Oxford/AstraZeneca jab as blood clots precaution [URL] Sent via [USER]	43	43
134	1342551310072213504	train	side-effect	Boston Doctor Develops Severe Allergic Reaction After Getting Moderna Vaccine [URL] [URL]	12	12
135	1338887978790227968	train	none	[USER] [USER] [USER] [USER] [USER] Nah, hard pass. You get it. YOU will be protected. Leave the rest of us alone.	21	21
136	1310331558750978048	train	side-effect	As US health authorities show reluctance to allow AstraZeneca to resume clinical trials of its coronavirus vaccine, a plethora of questions remain unanswered regarding the neurological illnesses suffered by study participants after they received injections of the expt vaccine.	39	39
137	1376602227347963904	train	mandatory	[USER] [USER] [USER] [USER] face with tears of joy rolling on the floor laughing face with tears of joy rolling on the floor laughing okay settle down now blown gasket. You have the right to choose to get vaccinated and that is your right. Just like those who choose not to it is their right to make that choice not to. Having this “pass” as they call it is removing choice and that is against people’s	57	76
138	1338555544714539008	train	rushed,mandatory	Those vacines have not be properly tested, and no one, under any circumstances should be forced to take them. #MondayThoughts Australia scraps a Covid-19 vaccine that produced H.I.V. false positives. [URL]	31	31
139	1336746445421113344	train	side-effect	Go on TV and tell me why Pfizer is protected from recourse of the adverse reactions of Covid 19 Vaccines! [USER] #WHYCovid	22	22
140	1353812373056925697	train	ineffective	Even I'm surprised at hearing that AZN #oxfordvaccine only 8% effective in >65 year-olds (prob 0% after 3 months). If true, how devastating the false security of those vaccinated w/ this #covidvaccine might turn out to be....	37	37
141	1343972434261774336	train	side-effect	Anyone up to volunteer for the latest car-crash of the #Pfizer #Vaccine? Didn't think so. Best skip this one. #Covid 4 German care workers rushed to hospital after Pfizer coronavirus vaccination, claims that 8 received 'accidental overdose' [URL]	38	38
142	1374521360186142722	train	unnecessary,rushed	[USER] [USER] [USER] Its not a vaccine like we had. Its an experimental vaccine. Kids are not dying from this virus so why do they need it?	27	27
143	1375817438458224641	train	side-effect	People will argue that they should be fine if they are vaccinated. This thinking misses the point completely. It is the fine that is illegal (violates charter rights) and will get thrown out in court.	35	35
